Order ID,Order Date,Ship Date,Customer ID,Product ID,Postal Code,Sales,Profit,Quantity,Discount
ORD-20000,2024-09-19,2024-09-21,CUST-10467,PROD-1001,500001,48573.45,2663.83,4,0.15
ORD-20001,2025-05-15,2025-05-17,CUST-10278,PROD-1005,500001,1575.92,-76.94,4,0.1
ORD-20002,2024-08-13,2024-08-20,CUST-10686,PROD-1007,700001,24099.95,-897.51,2,0.1
ORD-20003,2026-01-02,2026-01-09,CUST-10630,PROD-1006,411001,41471.06,3498.61,3,0.15
ORD-20004,2025-07-18,2025-07-22,CUST-10423,PROD-1010,302001,13481.93,1757.99,3,0.05
ORD-20005,2025-07-11,2025-07-18,CUST-10804,PROD-1003,700001,28233.21,3057.19,4,0.15
ORD-20006,2025-07-25,2025-07-26,CUST-10035,PROD-1003,380001,13214.17,-1002.92,4,0.15
ORD-20007,2026-01-07,2026-01-10,CUST-10726,PROD-1009,400001,30613.5,5368.05,2,0.05
ORD-20008,2025-05-25,2025-05-27,CUST-10064,PROD-1003,500001,24629.72,5144.89,4,0.15
ORD-20009,2024-08-15,2024-08-22,CUST-10085,PROD-1001,560001,47914.82,4480.33,4,0.15
ORD-20010,2025-12-16,2025-12-20,CUST-10228,PROD-1004,110001,49420.54,7396.55,4,0.1
ORD-20011,2026-02-16,2026-02-21,CUST-10955,PROD-1001,700001,25842.57,-1162.51,5,0.1
ORD-20012,2024-07-07,2024-07-10,CUST-10480,PROD-1007,110001,7267.88,374.79,5,0.05
ORD-20013,2025-10-13,2025-10-16,CUST-10967,PROD-1001,411001,18809.89,4905.82,2,0.15
ORD-20014,2025-07-19,2025-07-23,CUST-10742,PROD-1004,302001,23665.06,5650.71,1,0.15
ORD-20015,2025-12-24,2025-12-26,CUST-10184,PROD-1010,110001,1042.68,138.29,3,0.1
ORD-20016,2024-07-05,2024-07-08,CUST-10097,PROD-1001,380001,38063.04,4996.87,2,0.0
ORD-20017,2024-09-09,2024-09-13,CUST-10538,PROD-1006,400001,24554.64,1962.49,1,0.15
ORD-20018,2024-12-20,2024-12-22,CUST-10473,PROD-1003,560001,39301.81,4272.75,3,0.15
ORD-20019,2024-09-14,2024-09-16,CUST-10544,PROD-1010,560001,17777.03,3235.57,5,0.1
ORD-20020,2024-07-02,2024-07-04,CUST-10330,PROD-1004,110001,30327.45,3263.88,2,0.15
ORD-20021,2025-01-12,2025-01-13,CUST-10278,PROD-1003,500001,32007.95,-739.02,2,0.15
ORD-20022,2024-08-06,2024-08-10,CUST-10969,PROD-1004,600001,21434.31,3541.25,1,0.0
ORD-20023,2025-04-12,2025-04-19,CUST-10855,PROD-1010,751001,39390.02,-3821.28,2,0.0
ORD-20024,2025-04-28,2025-05-01,CUST-10151,PROD-1009,411001,7699.73,642.97,3,0.0
ORD-20025,2026-01-13,2026-01-15,CUST-10491,PROD-1002,411001,39174.52,8101.49,1,0.15
ORD-20026,2025-02-22,2025-02-24,CUST-10653,PROD-1004,751001,49605.0,8648.32,5,0.15
ORD-20027,2025-11-22,2025-11-24,CUST-10131,PROD-1010,500001,11224.29,1091.33,1,0.15
ORD-20028,2025-09-05,2025-09-11,CUST-10267,PROD-1002,400001,5860.57,-132.25,1,0.1
ORD-20029,2026-03-04,2026-03-09,CUST-10685,PROD-1002,302001,13696.85,3661.57,3,0.0
ORD-20030,2024-10-11,2024-10-17,CUST-10083,PROD-1007,600001,8762.01,2526.04,5,0.0
ORD-20031,2026-05-22,2026-05-26,CUST-10842,PROD-1004,751001,26154.72,4351.41,3,0.0
ORD-20032,2026-03-22,2026-03-26,CUST-10157,PROD-1006,751001,19133.1,-876.98,4,0.15
ORD-20033,2024-08-03,2024-08-10,CUST-10761,PROD-1003,400001,10889.98,-832.44,4,0.15
ORD-20034,2025-02-05,2025-02-08,CUST-10463,PROD-1001,110001,13691.24,3981.11,2,0.0
ORD-20035,2024-06-19,2024-06-23,CUST-10936,PROD-1008,560001,12514.92,2301.3,4,0.15
ORD-20036,2024-06-27,2024-06-28,CUST-10476,PROD-1006,400001,20604.66,3686.46,1,0.1
ORD-20037,2024-12-21,2024-12-28,CUST-10354,PROD-1004,600001,22107.4,6095.56,4,0.0
ORD-20038,2025-10-02,2025-10-03,CUST-10972,PROD-1003,411001,10044.52,42.69,4,0.1
ORD-20039,2024-07-21,2024-07-25,CUST-10671,PROD-1008,400001,35622.01,3010.35,2,0.15
ORD-20040,2026-01-02,2026-01-09,CUST-10353,PROD-1005,500001,8304.43,355.47,3,0.15
ORD-20041,2024-10-24,2024-10-29,CUST-10861,PROD-1007,700001,19587.64,-956.59,3,0.05
ORD-20042,2025-02-27,2025-02-28,CUST-10337,PROD-1001,500001,7444.06,1867.54,3,0.05
ORD-20043,2025-04-30,2025-05-06,CUST-10962,PROD-1002,380001,7048.56,625.56,2,0.05
ORD-20044,2024-09-13,2024-09-19,CUST-10999,PROD-1008,302001,732.7,147.65,1,0.0
ORD-20045,2026-03-05,2026-03-08,CUST-10755,PROD-1006,751001,10899.41,2079.43,4,0.05
